index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,100.00%,13.33%,75.00%,10.00%,100.00%,13.33%,100.00%,13.33%,100.00%,13.33%,100.00%,13.33%
Top 20%,100.00%,26.67%,87.50%,23.33%,100.00%,26.67%,87.50%,23.33%,87.50%,23.33%,87.50%,23.33%
Top 30%,100.00%,40.00%,91.67%,36.67%,91.67%,36.67%,83.33%,33.33%,75.00%,30.00%,91.67%,36.67%
Top 40%,93.75%,50.00%,93.75%,50.00%,93.75%,50.00%,81.25%,43.33%,81.25%,43.33%,93.75%,50.00%
Top 50%,90.00%,60.00%,95.00%,63.33%,90.00%,60.00%,85.00%,56.67%,85.00%,56.67%,90.00%,60.00%
Top 60%,87.50%,70.00%,87.50%,70.00%,91.67%,73.33%,87.50%,70.00%,87.50%,70.00%,91.67%,73.33%
Top 70%,89.29%,83.33%,85.71%,80.00%,89.29%,83.33%,89.29%,83.33%,89.29%,83.33%,89.29%,83.33%
Top 80%,90.62%,96.67%,87.50%,93.33%,90.62%,96.67%,90.62%,96.67%,90.62%,96.67%,90.62%,96.67%
Top 90%,83.33%,100.00%,83.33%,100.00%,83.33%,100.00%,83.33%,100.00%,83.33%,100.00%,83.33%,100.00%
Top 100%,73.17%,100.00%,73.17%,100.00%,73.17%,100.00%,73.17%,100.00%,73.17%,100.00%,73.17%,100.00%
