index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,100.00%,9.30%,100.00%,9.30%,100.00%,9.30%,75.00%,6.98%,75.00%,6.98%,100.00%,9.30%
Top 20%,100.00%,18.60%,87.50%,16.28%,100.00%,18.60%,87.50%,16.28%,87.50%,16.28%,87.50%,16.28%
Top 30%,100.00%,27.91%,91.67%,25.58%,91.67%,25.58%,91.67%,25.58%,91.67%,25.58%,91.67%,25.58%
Top 40%,100.00%,37.21%,93.75%,34.88%,93.75%,34.88%,87.50%,32.56%,87.50%,32.56%,87.50%,32.56%
Top 50%,100.00%,46.51%,95.00%,44.19%,95.00%,44.19%,90.00%,41.86%,90.00%,41.86%,90.00%,41.86%
Top 60%,100.00%,55.81%,95.83%,53.49%,95.83%,53.49%,91.67%,51.16%,91.67%,51.16%,91.67%,51.16%
Top 70%,100.00%,65.12%,96.43%,62.79%,96.43%,62.79%,92.86%,60.47%,92.86%,60.47%,92.86%,60.47%
Top 80%,100.00%,74.42%,96.88%,72.09%,96.88%,72.09%,93.75%,69.77%,93.75%,69.77%,93.75%,69.77%
Top 90%,97.22%,81.40%,97.22%,81.40%,97.22%,81.40%,88.89%,74.42%,88.89%,74.42%,94.44%,79.07%
Top 100%,91.49%,100.00%,91.49%,100.00%,91.49%,100.00%,91.49%,100.00%,91.49%,100.00%,91.49%,100.00%
