project name,Tuple,Optional,Any,Type,List,Union,Sequence,Mapping,Callable,MutableMapping,Iterable,Dict,Generator,Pattern,NoReturn,Set,IO,Iterator,Container,Literal,Collection,SupportsInt,Generic,ClassVar,BinaryIO,ContextManager,AsyncIterable,AsyncGenerator,Awaitable,AnyStr,DefaultDict,MutableSequence,TextIO,AbstractSet,TypeVar,Match,SupportsIndex,FrozenSet,Hashable,Sized,typing,get_origin,get_args,NamedTuple,AnyCallable,CallableGenerator,ReprArgs,NoArgAnyCallable,DictStrAny,MappingIntStrAny,AbstractSetIntStr,Deque,SetStr,DictAny,TupleGenerator,ForwardRef,IntStr,DictIntStrAny,TYPE_CHECKING,Text,cast,Coroutine,ValuesView,ItemsView,overload
django-rest-framework,31,440,629,59,95,102,145,47,57,13,25,204,1,18,6,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django,400,1945,4753,314,795,625,175,40,301,8,117,527,0,13,0,105,8,83,3,6,19,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chainer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elasticsearch,785,5928,2529,14,9,1926,8,15,12,760,10,29,5,0,1,0,0,0,0,0,774,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grpc,21,184,26,0,7,7,31,10,17,2,10,5,0,0,0,1,0,5,0,0,0,0,1,0,0,0,9,0,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydra,12,279,234,27,200,48,21,0,21,0,1,57,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mypy,287,884,89,0,909,101,89,14,190,0,44,325,1,3,0,117,11,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numpy,48,157,939,92,19,131,28,2,3,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pandas,188,972,246,142,454,365,124,41,103,1,46,230,0,8,0,34,21,33,0,2,7,0,0,0,0,1,0,0,0,9,8,0,0,0,0,0,0,8,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
playwright-python,1,216,163,4,162,170,0,0,107,0,0,113,2,23,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prefect,29,69,577,7,148,107,4,8,119,1,75,191,3,0,0,18,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pydantic,70,158,516,216,55,83,6,28,107,0,3,179,9,5,0,60,0,4,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,16,3,0,0,5,0,0,0,0,0,4,32,22,9,6,9,20,15,2,7,3,2,3,13,3,0,0,0,0,0,0,0
pygithub,17,147,172,38,228,410,0,0,5,0,0,202,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pyproj,14,42,93,2,8,23,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pyspark,238,884,208,69,401,268,2,0,148,0,121,89,0,0,2,0,0,17,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pytest,143,439,174,93,224,276,120,14,62,6,61,111,56,9,11,37,8,23,0,0,2,0,0,0,0,0,0,0,0,15,0,0,8,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
python-dependency-injector,1,20,19,20,0,3,0,0,12,0,4,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rasa,257,1201,1061,51,1359,272,1,0,54,0,22,1236,5,1,7,88,0,9,0,0,1,0,0,0,0,0,0,1,17,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,31,3231,1,4,1,1,0
returns,17,29,59,691,32,14,18,4,270,0,8,4,4,0,6,0,0,9,0,0,0,0,0,31,0,2,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
sanic,12,173,34,16,34,39,0,0,12,0,19,42,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0
scipy,10,39,21,5,11,2,0,0,12,0,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uvicorn,8,47,11,18,28,16,0,0,15,1,3,7,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uvloop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
werkzeug,49,203,35,6,32,39,0,15,18,0,42,27,0,0,40,13,0,25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
