project name,Coverage(loc),Coverage(file),Coverage(func),Coverage(var),,,,,,,,,,,,,,
Django,14.75%,75.89%,50.96%,27.92%,,,,,,,,,,,,,,
DRF,19.47%,91.67%,68.14%,33.56%,,,,,,,,,,,,,,
gRPC,1.46%,8.20%,7.66%,0.00%,,,,,,,,,,,,,,
Matplotlib,0.03%,4.87%,0.09%,0.01%,,,,,,,,,,,,,,
Mypy,10.22%,90.00%,99.98%,0.00%,,,,,,,,,,,,,,
Numpy,2.12%,10.09%,2.07%,3.59%,,,,,,,,,,,,,,
Pandas,1.26%,20.37%,14.90%,0.57%,,,,,,,,,,,,,,
PyGithub,17.36%,99.07%,96.47%,0.54%,,,,,,,,,,,,,,
PySpark,14.09%,43.55%,55.70%,6.38%,,,,,,,,,,,,,,
Returns,11.82%,80.36%,90.64%,11.32%,,,,,,,,,,,,,,
chainer,0.21%,2.86%,2.63%,0.00%,,,,,,,,,,,,,,
elasticsearch,43.46%,96.77%,95.88%,44.77%,,,,,,,,,,,,,,
hydra,12.95%,78.26%,100.00%,0.00%,,,,,,,,,,,,,,
playwright-python,4.03%,52.11%,78.06%,0.00%,,,,,,,,,,,,,,
prefect,7.44%,69.78%,90.04%,0.00%,,,,,,,,,,,,,,
pydantic,11.82%,96.00%,98.38%,0.00%,,,,,,,,,,,,,,
pyproj,4.91%,61.90%,74.12%,0.00%,,,,,,,,,,,,,,
pytest,11.48%,89.06%,93.11%,0.00%,,,,,,,,,,,,,,
python-dependency-injector,10.52%,87.50%,69.90%,0.70%,,,,,,,,,,,,,,
rasa,8.45%,79.92%,100.00%,0.00%,,,,,,,,,,,,,,
sanic,7.32%,78.05%,52.19%,0.00%,,,,,,,,,,,,,,
scipy,0.22%,3.01%,0.67%,0.03%,,,,,,,,,,,,,,
uvicorn,8.02%,75.61%,62.59%,0.00%,,,,,,,,,,,,,,
uvloop,0.43%,40.00%,10.17%,0.00%,,,,,,,,,,,,,,
werkzeug,11.98%,91.49%,98.39%,1.62%,,,,,,,,,,,,,,
