file path,file type,any rate
backend.py,typed,0.0
backends\cuda.py,typed,0.0
backends\intel64.py,untyped,0
backends\_chainerx.py,typed,0.0
backends\_cpu.py,untyped,0
backends\__init__.py,untyped,0
computational_graph.py,untyped,0
configuration.py,untyped,0
cuda.py,untyped,0
dataset\convert.py,untyped,0
dataset\dataset_mixin.py,untyped,0
dataset\download.py,untyped,0
dataset\iterator.py,untyped,0
dataset\tabular\delegate_dataset.py,untyped,0
dataset\tabular\from_data.py,untyped,0
dataset\tabular\tabular_dataset.py,untyped,0
dataset\tabular\_asmode.py,untyped,0
dataset\tabular\_concat.py,untyped,0
dataset\tabular\_join.py,untyped,0
dataset\tabular\_slice.py,untyped,0
dataset\tabular\_transform.py,untyped,0
dataset\tabular\_with_converter.py,untyped,0
dataset\tabular\__init__.py,untyped,0
dataset\__init__.py,untyped,0
datasets\cifar.py,untyped,0
datasets\concatenated_dataset.py,untyped,0
datasets\dict_dataset.py,untyped,0
datasets\fashion_mnist.py,untyped,0
datasets\image_dataset.py,untyped,0
datasets\kuzushiji_mnist.py,untyped,0
datasets\mnist.py,untyped,0
datasets\pickle_dataset.py,untyped,0
datasets\ptb.py,untyped,0
datasets\sub_dataset.py,untyped,0
datasets\svhn.py,untyped,0
datasets\text_dataset.py,untyped,0
datasets\transform_dataset.py,untyped,0
datasets\tuple_dataset.py,untyped,0
datasets\_mnist_helper.py,untyped,0
datasets\__init__.py,untyped,0
device_resident.py,typed,0.0
distribution.py,untyped,0
distributions\bernoulli.py,untyped,0
distributions\beta.py,untyped,0
distributions\categorical.py,untyped,0
distributions\cauchy.py,untyped,0
distributions\chisquare.py,untyped,0
distributions\dirichlet.py,untyped,0
distributions\exponential.py,untyped,0
distributions\gamma.py,untyped,0
distributions\geometric.py,untyped,0
distributions\gumbel.py,untyped,0
distributions\independent.py,untyped,0
distributions\laplace.py,untyped,0
distributions\log_normal.py,untyped,0
distributions\multivariate_normal.py,untyped,0
distributions\normal.py,untyped,0
distributions\one_hot_categorical.py,untyped,0
distributions\pareto.py,untyped,0
distributions\poisson.py,untyped,0
distributions\uniform.py,untyped,0
distributions\utils.py,untyped,0
distributions\__init__.py,untyped,0
exporters\caffe.py,untyped,0
exporters\__init__.py,untyped,0
function.py,typed,0.0
functions\activation\clipped_relu.py,untyped,0
functions\activation\crelu.py,untyped,0
functions\activation\elu.py,untyped,0
functions\activation\hard_sigmoid.py,untyped,0
functions\activation\leaky_relu.py,untyped,0
functions\activation\log_softmax.py,untyped,0
functions\activation\maxout.py,untyped,0
functions\activation\prelu.py,untyped,0
functions\activation\relu.py,untyped,0
functions\activation\rrelu.py,untyped,0
functions\activation\selu.py,untyped,0
functions\activation\sigmoid.py,untyped,0
functions\activation\softmax.py,untyped,0
functions\activation\softplus.py,untyped,0
functions\activation\swish.py,untyped,0
functions\activation\tanh.py,untyped,0
functions\activation\__init__.py,untyped,0
functions\array\as_strided.py,untyped,0
functions\array\broadcast.py,untyped,0
functions\array\cast.py,untyped,0
functions\array\concat.py,untyped,0
functions\array\copy.py,untyped,0
functions\array\depth2space.py,untyped,0
functions\array\diagonal.py,untyped,0
functions\array\dstack.py,untyped,0
functions\array\expand_dims.py,untyped,0
functions\array\flatten.py,untyped,0
functions\array\flip.py,untyped,0
functions\array\fliplr.py,untyped,0
functions\array\flipud.py,untyped,0
functions\array\get_item.py,untyped,0
functions\array\hstack.py,untyped,0
functions\array\im2col.py,untyped,0
functions\array\moveaxis.py,untyped,0
functions\array\pad.py,untyped,0
functions\array\pad_sequence.py,untyped,0
functions\array\permutate.py,untyped,0
functions\array\repeat.py,untyped,0
functions\array\reshape.py,untyped,0
functions\array\resize_images.py,untyped,0
functions\array\rollaxis.py,untyped,0
functions\array\scatter_add.py,untyped,0
functions\array\select_item.py,untyped,0
functions\array\separate.py,untyped,0
functions\array\space2depth.py,untyped,0
functions\array\spatial_transformer_grid.py,untyped,0
functions\array\spatial_transformer_sampler.py,untyped,0
functions\array\split_axis.py,untyped,0
functions\array\squeeze.py,untyped,0
functions\array\stack.py,untyped,0
functions\array\swapaxes.py,untyped,0
functions\array\tile.py,untyped,0
functions\array\transpose.py,untyped,0
functions\array\transpose_sequence.py,untyped,0
functions\array\vstack.py,untyped,0
functions\array\where.py,untyped,0
functions\array\__init__.py,untyped,0
functions\connection\bilinear.py,untyped,0
functions\connection\convolution_2d.py,untyped,0
functions\connection\convolution_nd.py,untyped,0
functions\connection\deconvolution_2d.py,untyped,0
functions\connection\deconvolution_nd.py,untyped,0
functions\connection\deformable_convolution_2d_sampler.py,untyped,0
functions\connection\depthwise_convolution_2d.py,untyped,0
functions\connection\dilated_convolution_2d.py,untyped,0
functions\connection\embed_id.py,untyped,0
functions\connection\linear.py,untyped,0
functions\connection\local_convolution_2d.py,untyped,0
functions\connection\shift.py,untyped,0
functions\connection\__init__.py,untyped,0
functions\evaluation\accuracy.py,untyped,0
functions\evaluation\binary_accuracy.py,untyped,0
functions\evaluation\classification_summary.py,untyped,0
functions\evaluation\r2_score.py,untyped,0
functions\evaluation\__init__.py,untyped,0
functions\loss\absolute_error.py,untyped,0
functions\loss\black_out.py,untyped,0
functions\loss\contrastive.py,untyped,0
functions\loss\crf1d.py,untyped,0
functions\loss\cross_covariance.py,untyped,0
functions\loss\ctc.py,untyped,0
functions\loss\decov.py,untyped,0
functions\loss\discriminative_loss.py,untyped,0
functions\loss\hinge.py,untyped,0
functions\loss\huber_loss.py,untyped,0
functions\loss\mean_absolute_error.py,untyped,0
functions\loss\mean_squared_error.py,untyped,0
functions\loss\negative_sampling.py,untyped,0
functions\loss\sigmoid_cross_entropy.py,untyped,0
functions\loss\softmax_cross_entropy.py,untyped,0
functions\loss\squared_error.py,untyped,0
functions\loss\triplet.py,untyped,0
functions\loss\vae.py,untyped,0
functions\loss\__init__.py,untyped,0
functions\math\arctanh.py,untyped,0
functions\math\average.py,untyped,0
functions\math\basic_math.py,untyped,0
functions\math\batch_l2_norm_squared.py,untyped,0
functions\math\bias.py,untyped,0
functions\math\ceil.py,untyped,0
functions\math\cholesky.py,untyped,0
functions\math\clip.py,untyped,0
functions\math\cumprod.py,untyped,0
functions\math\cumsum.py,untyped,0
functions\math\det.py,untyped,0
functions\math\digamma.py,untyped,0
