file path,file type,any rate
client\async_search.py,typed,0.06930693069306931
client\autoscaling.py,typed,0.14285714285714285
client\cat.py,typed,0.04892367906066536
client\ccr.py,typed,0.14516129032258066
client\cluster.py,typed,0.07364341085271318
client\dangling_indices.py,typed,0.10638297872340426
client\enrich.py,typed,0.1267605633802817
client\eql.py,typed,0.14516129032258066
client\features.py,typed,0.07407407407407407
client\fleet.py,typed,0.1111111111111111
client\graph.py,typed,0.11764705882352941
client\ilm.py,typed,0.10897435897435898
client\indices.py,typed,0.09538784067085954
client\ingest.py,typed,0.10989010989010989
client\license.py,typed,0.07142857142857142
client\logstash.py,typed,0.16279069767441862
client\migration.py,typed,0.07142857142857142
client\ml.py,typed,0.12466367713004484
client\monitoring.py,typed,0.1111111111111111
client\nodes.py,typed,0.05319148936170213
client\rollup.py,typed,0.14814814814814814
client\searchable_snapshots.py,typed,0.1076923076923077
client\security.py,typed,0.1343042071197411
client\shutdown.py,typed,0.13953488372093023
client\slm.py,typed,0.09836065573770492
client\snapshot.py,typed,0.14018691588785046
client\sql.py,typed,0.14285714285714285
client\ssl.py,typed,0.07692307692307693
client\tasks.py,typed,0.07407407407407407
client\text_structure.py,typed,0.07407407407407407
client\transform.py,typed,0.13076923076923078
client\utils.py,typed,0.11764705882352941
client\watcher.py,typed,0.10559006211180125
client\xpack.py,typed,0.0967741935483871
client\__init__.py,typed,0.08290155440414508
compat.py,typed,0.0
connection\base.py,typed,0.1232876712328767
connection\http_requests.py,typed,0.05555555555555555
connection\http_urllib3.py,typed,0.1724137931034483
connection\pooling.py,typed,0.0
connection\__init__.py,untyped,0
connection_pool.py,typed,0.21739130434782608
exceptions.py,typed,0.0
helpers\actions.py,typed,0.2
helpers\errors.py,typed,0.3333333333333333
helpers\test.py,typed,0.16666666666666666
helpers\__init__.py,untyped,0
serializer.py,typed,0.375
transport.py,typed,0.07142857142857142
utils.py,typed,0.0
_async\client\async_search.py,untyped,0
_async\client\autoscaling.py,untyped,0
_async\client\cat.py,untyped,0
_async\client\ccr.py,untyped,0
_async\client\cluster.py,untyped,0
_async\client\dangling_indices.py,untyped,0
_async\client\enrich.py,untyped,0
_async\client\eql.py,untyped,0
_async\client\features.py,untyped,0
_async\client\fleet.py,untyped,0
_async\client\graph.py,untyped,0
_async\client\ilm.py,untyped,0
_async\client\indices.py,untyped,0
_async\client\ingest.py,untyped,0
_async\client\license.py,untyped,0
_async\client\logstash.py,untyped,0
_async\client\migration.py,untyped,0
_async\client\ml.py,untyped,0
_async\client\monitoring.py,untyped,0
_async\client\nodes.py,untyped,0
_async\client\rollup.py,untyped,0
_async\client\searchable_snapshots.py,untyped,0
_async\client\security.py,untyped,0
_async\client\shutdown.py,untyped,0
_async\client\slm.py,untyped,0
_async\client\snapshot.py,untyped,0
_async\client\sql.py,untyped,0
_async\client\ssl.py,untyped,0
_async\client\tasks.py,untyped,0
_async\client\text_structure.py,untyped,0
_async\client\transform.py,untyped,0
_async\client\utils.py,typed,0.0
_async\client\watcher.py,untyped,0
_async\client\xpack.py,typed,0.5
_async\client\__init__.py,typed,0.05128205128205128
_async\compat.py,typed,0.0
_async\helpers.py,typed,0.17777777777777778
_async\http_aiohttp.py,typed,0.041666666666666664
_async\transport.py,typed,0.08888888888888889
_async\_extra_imports.py,untyped,0
_async\__init__.py,untyped,0
_version.py,untyped,0
__init__.py,typed,0.0
