file path,file type,any rate
playwright\async_api\_context_manager.py,typed,0.0
playwright\async_api\_generated.py,typed,0.0
playwright\async_api\__init__.py,typed,0.0
playwright\sync_api\_context_manager.py,typed,0.1
playwright\sync_api\_generated.py,typed,0.0
playwright\sync_api\__init__.py,typed,0.0
playwright\_impl\_accessibility.py,typed,0.0
playwright\_impl\_api_structures.py,typed,0.0
playwright\_impl\_api_types.py,typed,0.0
playwright\_impl\_artifact.py,typed,0.0
playwright\_impl\_async_base.py,typed,0.13636363636363635
playwright\_impl\_browser.py,typed,0.0
playwright\_impl\_browser_context.py,typed,0.0
playwright\_impl\_browser_type.py,typed,0.0
playwright\_impl\_cdp_session.py,typed,0.14285714285714285
playwright\_impl\_connection.py,typed,0.10144927536231885
playwright\_impl\_console_message.py,typed,0.0
playwright\_impl\_dialog.py,typed,0.0
playwright\_impl\_download.py,typed,0.0
playwright\_impl\_driver.py,typed,0.0
playwright\_impl\_element_handle.py,typed,0.26666666666666666
playwright\_impl\_event_context_manager.py,typed,0.0
playwright\_impl\_file_chooser.py,typed,0.0
playwright\_impl\_frame.py,typed,0.034482758620689655
playwright\_impl\_helper.py,typed,0.03278688524590164
playwright\_impl\_impl_to_api_mapping.py,typed,0.4166666666666667
playwright\_impl\_input.py,typed,0.0
playwright\_impl\_js_handle.py,typed,0.3333333333333333
playwright\_impl\_network.py,typed,0.0
playwright\_impl\_object_factory.py,typed,0.0
playwright\_impl\_page.py,typed,0.05263157894736842
playwright\_impl\_path_utils.py,typed,0.0
playwright\_impl\_playwright.py,typed,0.0
playwright\_impl\_selectors.py,typed,0.0
playwright\_impl\_stream.py,typed,0.0
playwright\_impl\_sync_base.py,typed,0.09433962264150944
playwright\_impl\_tracing.py,typed,0.0
playwright\_impl\_transport.py,typed,0.0
playwright\_impl\_video.py,typed,0.0
playwright\_impl\_wait_helper.py,typed,0.0967741935483871
playwright\_impl\__init__.py,untyped,0
playwright\__init__.py,untyped,0
playwright\__main__.py,typed,0.0
scripts\documentation_provider.py,typed,0.24
scripts\generate_api.py,typed,0.17647058823529413
scripts\generate_async_api.py,typed,0.3333333333333333
scripts\generate_sync_api.py,typed,0.3333333333333333
scripts\report_downstream_test_diffs.py,typed,0.0
scripts\update_versions.py,typed,0.0
setup.py,typed,0.0
tests\assets\client.py,typed,0.0
tests\async\conftest.py,typed,0.0
tests\async\test_accessibility.py,untyped,0
tests\async\test_add_init_script.py,untyped,0
tests\async\test_browser.py,untyped,0
tests\async\test_browsercontext.py,untyped,0
tests\async\test_browsercontext_add_cookies.py,untyped,0
tests\async\test_browsercontext_clearcookies.py,untyped,0
tests\async\test_browsercontext_cookies.py,untyped,0
tests\async\test_browsercontext_proxy.py,untyped,0
tests\async\test_browsercontext_storage_state.py,untyped,0
tests\async\test_browsertype_connect.py,untyped,0
tests\async\test_browsertype_connect_cdp.py,typed,0.0
tests\async\test_cdp_session.py,untyped,0
tests\async\test_check.py,untyped,0
tests\async\test_chromium_tracing.py,untyped,0
tests\async\test_click.py,untyped,0
tests\async\test_console.py,typed,0.0
tests\async\test_context_manager.py,untyped,0
tests\async\test_defaultbrowsercontext.py,untyped,0
tests\async\test_dialog.py,untyped,0
tests\async\test_dispatch_event.py,untyped,0
tests\async\test_download.py,typed,0.0
tests\async\test_element_handle.py,untyped,0
tests\async\test_element_handle_wait_for_element_state.py,untyped,0
tests\async\test_emulation_focus.py,untyped,0
tests\async\test_evaluate.py,untyped,0
tests\async\test_fill.py,untyped,0
tests\async\test_focus.py,untyped,0
tests\async\test_frames.py,untyped,0
tests\async\test_geolocation.py,untyped,0
tests\async\test_har.py,untyped,0
tests\async\test_headful.py,untyped,0
tests\async\test_ignore_https_errors.py,untyped,0
tests\async\test_input.py,typed,0.0
tests\async\test_interception.py,untyped,0
tests\async\test_issues.py,untyped,0
tests\async\test_jshandle.py,untyped,0
tests\async\test_keyboard.py,untyped,0
tests\async\test_launcher.py,untyped,0
tests\async\test_listeners.py,untyped,0
tests\async\test_navigation.py,typed,0.18181818181818182
tests\async\test_network.py,typed,0.0
tests\async\test_page.py,untyped,0
tests\async\test_page_base_url.py,untyped,0
tests\async\test_pdf.py,untyped,0
tests\async\test_popup.py,typed,0.0
tests\async\test_proxy.py,untyped,0
tests\async\test_queryselector.py,untyped,0
tests\async\test_request_continue.py,untyped,0
tests\async\test_resource_timing.py,untyped,0
tests\async\test_tap.py,untyped,0
tests\async\test_tracing.py,untyped,0
tests\async\test_video.py,untyped,0
tests\async\test_wait_for_url.py,untyped,0
tests\async\test_websocket.py,untyped,0
tests\async\test_worker.py,typed,0.0
tests\async\utils.py,typed,0.0
tests\async\__init__.py,untyped,0
tests\common\test_threads.py,untyped,0
tests\common\__init__.py,untyped,0
tests\conftest.py,typed,0.0
tests\server.py,typed,0.0
tests\sync\conftest.py,untyped,0
tests\sync\test_accessibility.py,untyped,0
tests\sync\test_add_init_script.py,typed,0.0
tests\sync\test_browsercontext_storage_state.py,untyped,0
tests\sync\test_browsertype_connect.py,typed,0.0
tests\sync\test_browsertype_connect_cdp.py,typed,0.0
tests\sync\test_cdp_session.py,untyped,0
tests\sync\test_check.py,untyped,0
tests\sync\test_console.py,typed,0.0
tests\sync\test_context_manager.py,typed,0.0
tests\sync\test_element_handle.py,typed,0.0
tests\sync\test_element_handle_wait_for_element_state.py,untyped,0
tests\sync\test_har.py,untyped,0
tests\sync\test_input.py,untyped,0
tests\sync\test_listeners.py,untyped,0
tests\sync\test_network.py,typed,0.0
tests\sync\test_page.py,typed,0.0
tests\sync\test_pdf.py,typed,0.0
tests\sync\test_resource_timing.py,untyped,0
tests\sync\test_sync.py,typed,0.0
tests\sync\test_tap.py,typed,0.0
tests\sync\test_tracing.py,untyped,0
tests\sync\test_video.py,untyped,0
tests\sync\utils.py,typed,0.0
tests\sync\__init__.py,untyped,0
tests\test_generation_scripts.py,untyped,0
tests\test_installation.py,typed,0.0
tests\test_reference_count_async.py,untyped,0
tests\__init__.py,untyped,0
