file path,file type,any rate
agent\agent.py,typed,0.029850746268656716
agent\docker\agent.py,typed,0.0
agent\docker\__init__.py,untyped,0
agent\ecs\agent.py,typed,0.0
agent\ecs\__init__.py,untyped,0
agent\fargate\agent.py,typed,0.0
agent\fargate\__init__.py,untyped,0
agent\kubernetes\agent.py,typed,0.04081632653061224
agent\kubernetes\__init__.py,untyped,0
agent\local\agent.py,typed,0.0
agent\local\__init__.py,untyped,0
agent\__init__.py,untyped,0
artifacts.py,typed,0.0
backend\execution.py,typed,0.07692307692307693
backend\flow.py,typed,0.06060606060606061
backend\flow_run.py,typed,0.0
backend\kv_store.py,typed,0.25
backend\task_run.py,typed,0.1875
backend\tenant.py,typed,0.06666666666666667
backend\__init__.py,untyped,0
cli\agent.py,untyped,0
cli\auth.py,typed,0.0
cli\build_register.py,typed,0.0
cli\create.py,untyped,0
cli\delete.py,untyped,0
cli\describe.py,untyped,0
cli\execute.py,untyped,0
cli\get.py,untyped,0
cli\heartbeat.py,untyped,0
cli\kv_store.py,untyped,0
cli\run.py,typed,0.08695652173913043
cli\server.py,typed,0.0
cli\__init__.py,untyped,0
client\client.py,typed,0.0111731843575419
client\secrets.py,typed,0.0
client\__init__.py,untyped,0
configuration.py,typed,0.0
core\edge.py,typed,0.14285714285714285
core\flow.py,typed,0.064
core\parameter.py,typed,0.17647058823529413
core\task.py,typed,0.11510791366906475
core\__init__.py,untyped,0
engine\cache_validators.py,typed,0.0
engine\cloud\flow_runner.py,typed,0.0
engine\cloud\task_runner.py,typed,0.0
engine\cloud\__init__.py,untyped,0
engine\executors\dask.py,typed,0.6666666666666666
engine\executors\local.py,typed,0.6666666666666666
engine\executors\__init__.py,untyped,0
engine\flow_runner.py,typed,0.0
engine\result\base.py,typed,0.30434782608695654
engine\result\__init__.py,untyped,0
engine\results\azure_result.py,typed,0.25
engine\results\constant_result.py,typed,0.4
engine\results\gcs_result.py,typed,0.29411764705882354
engine\results\local_result.py,typed,0.3076923076923077
engine\results\prefect_result.py,typed,0.3076923076923077
engine\results\s3_result.py,typed,0.25
engine\results\secret_result.py,typed,0.375
engine\results\__init__.py,untyped,0
engine\runner.py,typed,0.10526315789473684
engine\serializers.py,typed,0.28888888888888886
engine\signals.py,typed,0.0
engine\state.py,typed,0.13592233009708737
engine\task_runner.py,typed,0.0
engine\__init__.py,typed,0.0
environments\execution\base.py,typed,0.0
environments\execution\dask\cloud_provider.py,typed,0.0625
environments\execution\dask\k8s.py,typed,0.0
environments\execution\dask\__init__.py,untyped,0
environments\execution\fargate\fargate_task.py,typed,0.0
environments\execution\fargate\__init__.py,untyped,0
environments\execution\k8s\job.py,typed,0.043478260869565216
environments\execution\k8s\__init__.py,untyped,0
environments\execution\local.py,typed,0.0
environments\execution\__init__.py,untyped,0
environments\__init__.py,untyped,0
exceptions.py,typed,0.0
executors\base.py,typed,0.5
executors\dask.py,typed,0.26
executors\local.py,typed,0.7142857142857143
executors\__init__.py,untyped,0
hello_world.py,typed,0.0
run_configs\base.py,typed,0.4
run_configs\docker.py,typed,0.0
run_configs\ecs.py,typed,0.0
run_configs\kubernetes.py,typed,0.0
run_configs\local.py,typed,0.0
run_configs\__init__.py,untyped,0
schedules\adjustments.py,typed,0.0
schedules\clocks.py,typed,0.027777777777777776
schedules\filters.py,typed,0.0
schedules\schedules.py,typed,0.0
schedules\__init__.py,untyped,0
serialization\edge.py,untyped,0
serialization\environment.py,typed,0.4
serialization\flow.py,typed,0.06666666666666667
serialization\result.py,typed,0.36363636363636365
serialization\run_config.py,untyped,0
serialization\schedule.py,typed,0.4
serialization\state.py,typed,0.3333333333333333
serialization\storage.py,typed,0.3333333333333333
serialization\task.py,typed,0.36363636363636365
serialization\__init__.py,untyped,0
storage\azure.py,typed,0.09090909090909091
storage\base.py,typed,0.05
storage\bitbucket.py,typed,0.047619047619047616
storage\codecommit.py,typed,0.1
storage\docker.py,typed,0.024390243902439025
storage\gcs.py,typed,0.08333333333333333
storage\git.py,typed,0.05
storage\github.py,typed,0.08333333333333333
storage\gitlab.py,typed,0.08333333333333333
storage\local.py,typed,0.09090909090909091
storage\module.py,typed,0.14285714285714285
storage\s3.py,typed,0.07692307692307693
storage\webhook.py,typed,0.05
storage\_healthcheck.py,typed,0.0
storage\__init__.py,typed,0.0
tasks\airtable\airtable.py,typed,0.125
tasks\airtable\__init__.py,untyped,0
tasks\asana\asana_task.py,typed,0.1
tasks\asana\__init__.py,untyped,0
tasks\aws\batch.py,typed,0.0
tasks\aws\client_waiter.py,typed,0.0
tasks\aws\lambda_function.py,typed,0.0
tasks\aws\s3.py,typed,0.0
tasks\aws\secrets_manager.py,typed,0.0
tasks\aws\step_function.py,typed,0.0
tasks\aws\waiters\__init__.py,untyped,0
tasks\aws\__init__.py,untyped,0
tasks\azure\blobstorage.py,typed,0.0
tasks\azure\cosmosdb.py,typed,0.0
tasks\azure\__init__.py,untyped,0
tasks\azureml\dataset.py,typed,0.0
tasks\azureml\datastore.py,typed,0.0
tasks\azureml\__init__.py,untyped,0
tasks\control_flow\case.py,typed,0.2
tasks\control_flow\conditional.py,typed,0.2631578947368421
tasks\control_flow\filter.py,typed,0.0
tasks\control_flow\__init__.py,untyped,0
tasks\core\collections.py,typed,0.5833333333333334
tasks\core\constants.py,typed,0.75
tasks\core\function.py,typed,0.3333333333333333
tasks\core\operators.py,typed,0.989247311827957
