file path,file type,any rate
api.py,typed,0.0
cli\arguments\data.py,typed,0.0
cli\arguments\default_arguments.py,typed,0.0
cli\arguments\export.py,typed,0.0
cli\arguments\interactive.py,typed,0.0
cli\arguments\run.py,typed,0.0
cli\arguments\shell.py,typed,0.0
cli\arguments\test.py,typed,0.0
cli\arguments\train.py,typed,0.0
cli\arguments\visualize.py,typed,0.0
cli\arguments\x.py,typed,0.0
cli\arguments\__init__.py,untyped,0
cli\data.py,typed,0.0
cli\export.py,typed,0.0
cli\initial_project\actions\actions.py,untyped,0
cli\initial_project\actions\__init__.py,untyped,0
cli\interactive.py,typed,0.0
cli\run.py,typed,0.0
cli\scaffold.py,typed,0.0
cli\shell.py,typed,0.0
cli\telemetry.py,typed,0.0
cli\test.py,typed,0.0
cli\train.py,typed,0.0
cli\utils.py,typed,0.0
cli\visualize.py,typed,0.0
cli\x.py,typed,0.0
cli\__init__.py,untyped,0
constants.py,untyped,0
core\actions\action.py,typed,0.0
core\actions\forms.py,typed,0.013888888888888888
core\actions\loops.py,typed,0.0
core\actions\two_stage_fallback.py,typed,0.0
core\actions\__init__.py,untyped,0
core\agent.py,typed,0.011627906976744186
core\brokers\broker.py,typed,0.0
core\brokers\file.py,typed,0.0
core\brokers\kafka.py,typed,0.041666666666666664
core\brokers\pika.py,typed,0.09090909090909091
core\brokers\sql.py,typed,0.0
core\brokers\__init__.py,untyped,0
core\channels\botframework.py,typed,0.0
core\channels\callback.py,typed,0.0
core\channels\channel.py,typed,0.0
core\channels\console.py,typed,0.0
core\channels\facebook.py,typed,0.023809523809523808
core\channels\hangouts.py,typed,0.0
core\channels\mattermost.py,typed,0.0
core\channels\rasa_chat.py,typed,0.0
core\channels\rest.py,typed,0.0
core\channels\rocketchat.py,typed,0.0
core\channels\slack.py,typed,0.0
core\channels\socketio.py,typed,0.08
core\channels\telegram.py,typed,0.0
core\channels\twilio.py,typed,0.0
core\channels\twilio_voice.py,typed,0.0
core\channels\webexteams.py,typed,0.0
core\channels\__init__.py,typed,0.0
core\config.py,typed,0.0
core\constants.py,untyped,0
core\exceptions.py,typed,0.0
core\exporter.py,typed,0.0
core\featurizers\single_state_featurizer.py,typed,0.03508771929824561
core\featurizers\tracker_featurizers.py,typed,0.0
core\featurizers\__init__.py,untyped,0
core\interpreter.py,typed,0.0
core\jobs.py,typed,0.0
core\lock.py,typed,0.0
core\lock_store.py,typed,0.0
core\nlg\callback.py,typed,0.1
core\nlg\generator.py,typed,0.0
core\nlg\interpolator.py,typed,0.0
core\nlg\response.py,typed,0.08
core\nlg\__init__.py,untyped,0
core\policies\ensemble.py,typed,0.037037037037037035
core\policies\fallback.py,typed,0.1
core\policies\form_policy.py,typed,0.07407407407407407
