file path,file type,any rate
app.py,typed,0.028169014084507043
asgi.py,typed,0.0
base.py,typed,0.125
blueprints.py,typed,0.0
blueprint_group.py,typed,0.0
compat.py,typed,0.0
config.py,typed,0.0
constants.py,typed,0.0
cookies.py,typed,0.0
errorpages.py,typed,0.0
exceptions.py,typed,0.0
handlers.py,untyped,0
headers.py,typed,0.0
helpers.py,typed,0.0
http.py,typed,0.0
log.py,untyped,0
mixins\exceptions.py,typed,0.0
mixins\listeners.py,typed,0.0
mixins\middleware.py,typed,0.0
mixins\routes.py,typed,0.0
mixins\signals.py,typed,0.0
mixins\__init__.py,untyped,0
models\asgi.py,typed,0.0
models\futures.py,typed,0.0
models\handler_types.py,untyped,0
models\protocol_types.py,typed,0.0
models\__init__.py,untyped,0
reloader_helpers.py,untyped,0
request.py,typed,0.0
response.py,typed,0.02
router.py,typed,0.0
server.py,typed,0.0
signals.py,typed,0.0
simple.py,typed,0.0
utils.py,typed,0.0
views.py,typed,0.0
websocket.py,typed,0.0
worker.py,untyped,0
__init__.py,untyped,0
__main__.py,typed,0.0
__version__.py,untyped,0
