file path,file type,any rate
config.py,typed,0.0
importer.py,onlyAny,1.0
lifespan\off.py,typed,0.0
lifespan\on.py,typed,0.0
lifespan\__init__.py,untyped,0
logging.py,typed,0.0
loops\asyncio.py,typed,0.0
loops\auto.py,typed,0.0
loops\uvloop.py,typed,0.0
loops\__init__.py,untyped,0
main.py,typed,0.0
middleware\asgi2.py,typed,0.0
middleware\debug.py,typed,0.0
middleware\message_logger.py,typed,0.7142857142857143
middleware\proxy_headers.py,typed,0.0
middleware\wsgi.py,typed,0.0
middleware\__init__.py,untyped,0
protocols\http\auto.py,typed,0.0
protocols\http\flow_control.py,typed,0.0
protocols\http\h11_impl.py,typed,0.0
protocols\http\httptools_impl.py,typed,0.0
protocols\http\__init__.py,untyped,0
protocols\utils.py,typed,0.0
protocols\websockets\auto.py,typed,0.0
protocols\websockets\websockets_impl.py,typed,0.0
protocols\websockets\wsproto_impl.py,typed,0.0
protocols\websockets\__init__.py,untyped,0
protocols\__init__.py,untyped,0
server.py,typed,0.0
subprocess.py,typed,0.0
supervisors\basereload.py,typed,0.0
supervisors\multiprocess.py,typed,0.0
supervisors\statreload.py,typed,0.0
supervisors\watchgodreload.py,typed,0.0
supervisors\__init__.py,typed,0.0
workers.py,typed,0.2857142857142857
_handlers\http.py,typed,0.0
_handlers\__init__.py,untyped,0
_types.py,untyped,0
__init__.py,untyped,0
__main__.py,untyped,0
